Question,Answer
Dark theme in app,"Hello, to activate dark theme go to setting (gear icon) > appearance and choose dark color theme."
What are verification limits,"Hello, to check your withdraw verification limits proceed to settings > verification level and click on ""!"" in the upper menu. You can also read about verification documents there."
App version,"Hello, to check your app version navigate to the settings (gear icon) and scroll to the bottom. App version should be shown there."
How is your system working,"Hello, Tezro is working just fine, do you have any specific questions?"
How are you,"Hello, i'm fine, what about you?"
Why sometimes the app work very slow,"Hello, we are working on optimisation of our app, please contact the operator using the button below and tell us where exactly it is slow? Under which conditions do you encounter the slow work?"
Can you check please,"Hello, to request answering specific question pls contact the operator using the button below."
What is your name,"Hello, i have no name, can i help you?"
can i email someone,"Hello, you can send messages to any email address from Tezro. To do so click on the mail icon in the bottom menu, then click on pencil on top, enter email address, subject and your message. Email will be sent shortly after."
how is exchange working,"Hello, in exchange chat you can create exchange offers to other users. They can make offers in response and after both of you accept them the trade will happen."
how much is 2x2,"Hello 2x2=5, i am not a calculator allright? Any other questions?"
how to make money,"Hello, to make money in Tezro there are a lot of options. You can trade crypto in exchange, open a shop in Markets or sell your assets on Auction. Soon you will be also able to invest money in Tezro DeFi."
buy coins,"Hello, you can recharge your Tezro fiat account from any card and then try to make an exchange offer in exchange chat to receive your first crypto."
buy crypto,"Hello, you can recharge your Tezro fiat account from any card and then try to make an exchange offer in exchange chat to receive your first crypto."
change to,"Hello, you can use exchange chat to create offers using crypto and fiat currencies. Other users should create responding offers to trade you currencies."
pay for goods,"Hello, you can buy goods in Tezro Market or on Auctions using your Tezro wallet, or you can just bind a card to Tezro and pay from it."
change my email address,"Hello, you cannot change your email address after registration in Tezro. This decision is permanent."
change username,"Hello, you can change your username anytime from your user profile."
how to use auctions,"Hello, you can sell your assets on Tezro auction. There are 2 types of distribution: 100% auction type where you sell you completely selling your asset and 49% exchange type when users can buy each percent for a different price. On auction there is a timer, when it expires the max bid wins and the ownership transfers to winner. On burse the ownership remains the same, but users can resell owned percents again and again for a different price."
